message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHashIndexed: 1000 & 0.25,586,0.25,100,1000,1000,TwoHashIndexed,0.01015428500622511,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,4.5,125.39453125,-0.6207046508789062,5.688850402832031
TwoHash: 1000 & 0.25,577,0.25,100,1000,1000,TwoHash,0.012607866004109382,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,6.625,129.01953125,-0.5435028076171875,5.737831115722656
TwoHashIndexedCount: 1000 & 0.25,432,0.25,100,1000,1000,TwoHashIndexedCount,0.014160792998969555,0,9.50390625,0,0.030135154724121094,8,150.5625,0.7315216064453125,6.995353698730469
TwoHashIndexedCount: 10000 & 0.25,38433,0.25,100,10000,10000,TwoHashIndexedCount,0.10094928699731827,5,15.75390625,0,0.017816543579101562,52.80859375,189.87109375,0.556732177734375,8.519309997558594
TwoHashIndexed: 10000 & 0.25,53506,0.25,100,10000,10000,TwoHashIndexed,0.11125709300488233,5.25,16.00390625,0,0.017816543579101562,55.30859375,192.37109375,0.413665771484375,8.464515686035156
TwoHash: 10000 & 0.25,49936,0.25,100,10000,10000,TwoHash,0.11994897600263357,5.5,16.00390625,0,0.017816543579101562,58.8984375,192.37109375,1.68109130859375,9.587287902832031
TwoHashIndexedCount: 25000 & 0.25,253120,0.25,100,25000,25000,TwoHashIndexedCount,1.0921445679962636,10.953125,27.41796875,0,0.017816543579101562,132.62890625,307.125,5.3194122314453125,16.841232299804688
TwoHash: 25000 & 0.25,311647,0.25,100,25000,25000,TwoHash,1.192499323002994,11.25,27.46484375,0,0.017816543579101562,110.73046875,293.2265625,0.1753387451171875,11.596527099609375
TwoHashIndexed: 25000 & 0.25,324884,0.25,100,25000,25000,TwoHashIndexed,1.6616192650049926,11.203125,27.91796875,0,0.017816543579101562,186.5625,328.25,-0.31854248046875,11.078483581542969
TwoHashIndexed: 50000 & 0.25,1332428,0.25,100,50000,50000,TwoHashIndexed,5.318367042005062,20.46875,48.38671875,0,0.017816543579101562,304.9453125,515.625,9.325080871582031,23.100555419921875
TwoHash: 50000 & 0.25,1302577,0.25,100,50000,50000,TwoHash,7.156426504001021,19.375,47.54296875,0,0.017816543579101562,334.98828125,534.43359375,5.812896728515625,19.677581787109375
TwoHashIndexedCount: 50000 & 0.25,1153639,0.25,100,50000,50000,TwoHashIndexedCount,7.887341958999634,19.21875,47.38671875,0,0.017816543579101562,309.11328125,542.52734375,15.616912841796875,29.39112091064453
TwoHash: 75000 & 0.25,2869930,0.25,100,75000,75000,TwoHash,9.518110319003462,3,52.43359375,0,0.017816543579101562,290.42578125,568.7734375,2.5138778686523438,22.32714080810547
TwoHashIndexed: 75000 & 0.25,2916531,0.25,100,75000,75000,TwoHashIndexed,10.25246825300157,4.59375,53.27734375,0,0.017816543579101562,252.91015625,530.28515625,5.361595153808594,24.424102783203125
TwoHashIndexedCount: 75000 & 0.25,2622188,0.25,100,75000,75000,TwoHashIndexedCount,10.300750758998095,3.09375,52.02734375,0,0.017816543579101562,205.36328125,483.33984375,13.487449645996094,32.36170959472656
TwoHashIndexed: 1000 & 0.5,2480,0.5,100,1000,1000,TwoHashIndexed,0.01362329500168562,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,1.875,442.3046875,0.37226104736328125,6.7533111572265625
TwoHashIndexedCount: 1000 & 0.5,2045,0.5,100,1000,1000,TwoHashIndexedCount,0.016626212999224663,0.5,10.00390625,-0.012318611145019531,0.017816543579101562,1.875,445.11328125,0.14185333251953125,6.5065155029296875
TwoHashIndexed: 100000 & 0.25,5132000,0.25,100,100000,100000,TwoHashIndexed,17.01849492599815,7.59375,58.9453125,0,0.017816543579101562,150.33984375,474.83984375,10.590293884277344,40.02610778808594
TwoHashIndexedCount: 10000 & 0.5,217272,0.5,100,10000,10000,TwoHashIndexedCount,0.12191379899531603,2.453125,17.95703125,0,0.017816543579101562,4.453125,431.76953125,1.4538116455078125,9.565620422363281
TwoHash: 100000 & 0.25,5064887,0.25,100,100000,100000,TwoHash,18.10057897799462,6.25,57.3515625,0,0.017816543579101562,137.20703125,444.1796875,0.7470474243164062,29.409263610839844
TwoHashIndexedCount: 100000 & 0.25,4689431,0.25,100,100000,100000,TwoHashIndexedCount,17.59498829499632,6.09375,56.9453125,0,0.017816543579101562,49.578125,394.25,-0.7282638549804688,28.451858520507812
TwoHash: 25000 & 0.5,1388003,0.5,100,25000,25000,TwoHash,1.3625589750036597,10.265625,28.23046875,0,0.017816543579101562,-45.21484375,388.58984375,2.2492599487304688,14.221992492675781
TwoHashIndexed: 25000 & 0.5,1411471,0.5,100,25000,25000,TwoHashIndexed,1.3165268209949135,10.9375,29.15234375,0,0.017816543579101562,37.5859375,395.8046875,2.0629806518554688,14.066200256347656
TwoHashIndexedCount: 25000 & 0.5,1364237,0.5,100,25000,25000,TwoHashIndexedCount,1.3719821750000118,11.1875,29.15234375,0,0.017816543579101562,10.734375,379.453125,5.855537414550781,17.788658142089844
TwoHash: 50000 & 0.5,5630198,0.5,100,50000,50000,TwoHash,5.550757299996913,24.0703125,52.04296875,0,0.017816543579101562,77.421875,466.13671875,6.81280517578125,24.82110595703125
TwoHashIndexed: 50000 & 0.5,5683591,0.5,100,50000,50000,TwoHashIndexed,5.207555965997279,26.6796875,54.65234375,0,0.017816543579101562,72.46875,444.83203125,14.771858215332031,32.74798583984375
TwoHashIndexedCount: 50000 & 0.5,5577588,0.5,100,50000,50000,TwoHashIndexedCount,5.6858273300006985,26.1796875,54.15234375,0,0.017816543579101562,37.9296875,434.5234375,3.2988510131835938,21.282028198242188
TwoHashIndexed: 75000 & 0.5,12849349,0.5,100,75000,75000,TwoHashIndexed,11.942189754001797,13.46484375,62.55859375,0,0.017816543579101562,59.390625,481.8203125,16.58379364013672,40.632225036621094
TwoHash: 75000 & 0.5,12763642,0.5,100,75000,75000,TwoHash,12.460161508001388,9.35546875,58.19921875,0,0.017816543579101562,4.01171875,446.84375,4.8860015869140625,28.872047424316406
TwoHashIndexedCount: 75000 & 0.5,12676190,0.5,100,75000,75000,TwoHashIndexedCount,12.180270774997771,10.71484375,59.30859375,0,0.017816543579101562,30.4453125,447.50390625,16.768943786621094,40.74005889892578
TwoHash: 150000 & 0.25,10647364,0.25,100,150000,150000,TwoHash,36.62169867800176,13.25,65.56640625,0,0.017816543579101562,-45.671875,477.38671875,6.860374450683594,39.380027770996094
TwoHashIndexedCount: 150000 & 0.25,9987276,0.25,100,150000,150000,TwoHashIndexedCount,36.525741299003364,13.671875,65.98828125,0,0.017816543579101562,-65.65234375,483.12109375,2.4101791381835938,34.8515625
TwoHashIndexed: 150000 & 0.25,10759623,0.25,100,150000,150000,TwoHashIndexed,37.85431843999773,16.671875,68.98828125,0,0.017816543579101562,-57.05859375,482.34375,9.374923706054688,41.90235137939453
TwoHashIndexed: 100000 & 0.5,22691070,0.5,100,100000,100000,TwoHashIndexed,22.47306503800303,17.859375,69.30078125,0,0.017816543579101562,65.9765625,505.6328125,5.223411560058594,37.487884521484375
TwoHash: 100000 & 0.5,22569926,0.5,100,100000,100000,TwoHash,22.876923601999877,12.75,64.19140625,0,0.017816543579101562,42.828125,447.484375,8.415809631347656,40.64447784423828
TwoHashIndexedCount: 100000 & 0.5,22460675,0.5,100,100000,100000,TwoHashIndexedCount,22.390545613996686,12.609375,64.05078125,0,0.017816543579101562,-30.15234375,395.77734375,3.8669815063476562,36.20643615722656
TwoHashIndexedCount: 1000 & 0.75,5362,0.75,100,1000,1000,TwoHashIndexedCount,0.015400600001215934,0.75,10.25390625,-0.012318611145019531,0.017816543579101562,2.125,342.5546875,-0.43308258056640625,5.864990234375
TwoHash: 150000 & 0.5,49393822,0.5,100,150000,150000,TwoHash,46.9188653189987,10,74.88671875,0,0.017816543579101562,-111.5390625,364.83203125,6.2087860107421875,45.673187255859375
TwoHashIndexedCount: 150000 & 0.5,49228410,0.5,100,150000,150000,TwoHashIndexedCount,45.493346191003916,9.609375,74.24609375,0,0.017816543579101562,-162.05078125,315.98828125,10.179389953613281,49.63616180419922
TwoHashIndexedCount: 10000 & 0.75,539684,0.75,100,10000,10000,TwoHashIndexedCount,0.15601458099484444,10.703125,26.45703125,0,0.017816543579101562,14.75,268.515625,4.277946472167969,13.105445861816406
TwoHashIndexed: 150000 & 0.5,49591484,0.5,100,150000,150000,TwoHashIndexed,48.087180052004754,15.859375,80.49609375,0,0.017816543579101562,-189.88671875,292.20703125,13.183197021484375,52.76953125
